Product,Height (mm),Width (mm),H,S,V,Recyclable Flag
500ml Green Variant,199.9,69.2,114.4,85.0,78.1,Recyclable
500ml Green Variant,200.0,69.0,117.6,84.0,83.2,Recyclable
500ml Green Variant,201.0,69.4,122.3,85.6,79.2,Recyclable
500ml Blue Variant,203.4,70.4,237.9,83.2,90.0,Recyclable
500ml Orange Variant,199.4,71.7,29.2,90.9,94.1,Non-Recyclable
500ml Orange Variant,201.5,69.4,35.7,88.3,89.4,Non-Recyclable
500ml Blue Variant,201.0,70.4,243.3,83.2,85.9,Recyclable
500ml Green Variant,200.7,70.4,117.8,84.4,80.1,Recyclable
500ml Red Variant,199.6,68.7,353.9,90.6,89.3,Recyclable
1L Red Variant,258.6,89.8,359.1,91.2,89.2,Non-Recyclable
500ml Blue Variant,200.4,71.9,241.7,82.5,86.0,Recyclable
1L Red Variant,259.3,89.5,0.9,88.4,87.0,Non-Recyclable
1L Red Variant,259.0,90.0,357.3,89.2,84.8,Non-Recyclable
500ml Red Variant,200.1,70.9,356.8,92.0,89.4,Recyclable
500ml Blue Variant,201.7,69.1,240.9,81.6,86.1,Recyclable
500ml Green Variant,200.8,70.3,120.5,87.1,82.8,Recyclable
500ml Blue Variant,198.6,70.5,237.9,85.9,83.8,Recyclable
500ml Green Variant,202.1,70.1,122.6,84.4,81.6,Recyclable
1L Red Variant,258.1,91.1,3.4,87.7,88.4,Non-Recyclable
500ml Green Variant,200.6,68.9,125.2,84.3,76.4,Recyclable
500ml Green Variant,196.7,69.5,119.1,83.2,81.2,Recyclable
500ml Green Variant,201.9,70.5,118.7,84.5,80.5,Recyclable
500ml Orange Variant,202.5,69.3,26.3,91.6,88.6,Non-Recyclable
500ml Green Variant,200.5,71.0,120.8,84.9,79.2,Recyclable
500ml Red Variant,199.7,70.6,359.6,87.7,91.3,Recyclable
500ml Blue Variant,199.2,70.9,242.7,88.2,85.1,Recyclable
500ml Green Variant,199.4,71.1,121.1,83.5,78.3,Recyclable
500ml Blue Variant,200.7,70.0,242.6,84.4,84.0,Recyclable
500ml Red Variant,200.6,69.3,3.2,89.4,91.1,Recyclable
500ml Green Variant,198.0,70.2,124.2,81.8,80.6,Recyclable
500ml Green Variant,199.7,69.7,119.2,83.5,82.5,Recyclable
500ml Green Variant,201.1,69.5,124.0,84.9,77.3,Recyclable
500ml Orange Variant,198.0,70.0,35.1,87.9,95.4,Non-Recyclable
1L Red Variant,260.1,90.3,1.1,87.0,89.2,Non-Recyclable
500ml Red Variant,199.7,69.4,353.6,86.3,93.6,Recyclable
500ml Blue Variant,201.7,70.6,237.7,86.9,84.4,Recyclable
1L Red Variant,259.3,90.6,359.4,89.9,85.4,Non-Recyclable
500ml Green Variant,200.5,69.7,116.4,85.1,79.6,Recyclable
500ml Orange Variant,202.0,70.5,30.0,90.7,91.3,Non-Recyclable
500ml Green Variant,200.0,69.6,120.8,86.8,82.0,Recyclable
1L Red Variant,260.1,89.8,0.0,88.9,85.9,Non-Recyclable
500ml Blue Variant,200.0,69.3,246.0,82.3,81.6,Recyclable
1L Red Variant,262.6,91.0,2.8,89.7,88.7,Non-Recyclable
500ml Orange Variant,203.8,71.7,31.0,90.2,90.3,Non-Recyclable
500ml Blue Variant,198.0,69.3,241.3,89.2,86.8,Recyclable
1L Red Variant,262.0,90.8,357.2,88.6,84.0,Non-Recyclable
500ml Blue Variant,198.2,69.5,238.2,86.5,89.6,Recyclable
1L Red Variant,258.7,87.5,2.5,90.5,84.6,Non-Recyclable
500ml Red Variant,198.7,69.9,359.4,92.3,89.2,Recyclable
500ml Red Variant,198.5,70.7,356.8,88.8,91.3,Recyclable
500ml Blue Variant,199.4,71.2,243.5,87.4,86.2,Recyclable
1L Red Variant,260.8,89.9,355.9,88.9,87.5,Non-Recyclable
500ml Blue Variant,201.4,72.6,239.1,84.9,89.4,Recyclable
500ml Red Variant,200.7,70.4,1.4,91.1,86.0,Recyclable
500ml Red Variant,198.9,70.3,359.2,92.0,92.5,Recyclable
1L Red Variant,260.0,90.2,4.9,87.5,88.4,Non-Recyclable
1L Red Variant,260.7,90.0,357.4,89.9,87.0,Non-Recyclable
500ml Green Variant,196.3,69.5,122.9,83.6,82.0,Recyclable
500ml Orange Variant,199.7,70.0,26.1,86.4,90.0,Non-Recyclable
500ml Green Variant,199.5,70.5,118.3,84.3,80.5,Recyclable
500ml Orange Variant,198.2,70.6,33.5,92.8,93.7,Non-Recyclable
1L Red Variant,257.8,89.3,0.9,87.2,88.1,Non-Recyclable
500ml Red Variant,200.0,70.2,0.8,89.3,90.6,Recyclable
1L Red Variant,261.7,90.1,357.9,89.0,88.6,Non-Recyclable
500ml Orange Variant,196.2,69.4,30.2,87.4,95.1,Non-Recyclable
500ml Orange Variant,200.0,70.6,33.9,92.5,92.0,Non-Recyclable
500ml Orange Variant,198.6,69.1,30.8,91.9,94.6,Non-Recyclable
500ml Orange Variant,199.6,69.9,28.2,86.9,91.1,Non-Recyclable
500ml Orange Variant,198.7,69.5,27.3,90.0,93.8,Non-Recyclable
500ml Red Variant,200.2,69.9,0.6,89.4,91.8,Recyclable
500ml Orange Variant,199.8,70.7,27.3,87.6,90.9,Non-Recyclable
500ml Blue Variant,201.8,71.9,241.5,84.7,87.1,Recyclable
1L Red Variant,257.7,90.5,1.1,88.3,86.8,Non-Recyclable
1L Red Variant,260.4,90.5,3.4,88.1,88.0,Non-Recyclable
1L Red Variant,260.0,89.9,358.6,89.6,88.8,Non-Recyclable
500ml Red Variant,201.0,68.3,354.2,87.9,90.1,Recyclable
500ml Orange Variant,199.4,68.9,27.3,88.9,94.2,Non-Recyclable
500ml Red Variant,197.3,68.7,4.0,94.8,84.9,Recyclable
500ml Red Variant,200.4,69.2,5.1,85.7,92.2,Recyclable
500ml Orange Variant,200.6,70.9,28.9,88.9,91.8,Non-Recyclable
500ml Blue Variant,203.1,69.9,244.5,85.0,85.1,Recyclable
500ml Green Variant,199.6,69.9,120.4,86.9,80.5,Recyclable
500ml Red Variant,201.5,69.8,4.9,85.9,85.7,Recyclable
500ml Red Variant,200.6,69.8,358.4,88.3,89.7,Recyclable
500ml Red Variant,199.0,70.2,360.0,88.3,92.1,Recyclable
500ml Red Variant,200.2,70.8,355.4,90.9,89.0,Recyclable
500ml Green Variant,198.0,70.7,120.1,84.8,82.3,Recyclable
500ml Orange Variant,199.7,70.0,35.5,90.0,91.2,Non-Recyclable
1L Red Variant,260.5,90.3,358.4,93.1,86.8,Non-Recyclable
1L Red Variant,260.2,89.4,357.7,91.8,90.1,Non-Recyclable
500ml Red Variant,197.3,69.7,356.8,85.5,90.5,Recyclable
500ml Green Variant,197.3,69.7,119.4,88.4,82.6,Recyclable
500ml Green Variant,201.5,71.6,122.2,85.7,80.9,Recyclable
500ml Red Variant,202.5,69.9,0.7,88.2,89.3,Recyclable
500ml Orange Variant,199.2,70.2,29.9,88.7,98.0,Non-Recyclable
500ml Orange Variant,202.1,69.4,29.0,90.4,90.4,Non-Recyclable
500ml Green Variant,200.1,69.3,121.9,87.8,81.1,Recyclable
500ml Green Variant,199.3,69.4,121.3,83.6,80.8,Recyclable
500ml Blue Variant,202.3,70.8,235.8,82.5,79.7,Recyclable
500ml Orange Variant,201.1,70.6,33.0,89.1,92.9,Non-Recyclable
1L Red Variant,261.5,89.9,2.6,87.7,88.2,Non-Recyclable
500ml Orange Variant,199.8,71.4,29.8,90.0,91.6,Non-Recyclable
500ml Green Variant,201.0,70.2,121.7,86.0,78.8,Recyclable
1L Red Variant,258.4,90.1,2.1,89.5,89.4,Non-Recyclable
500ml Orange Variant,201.0,70.6,35.0,91.9,91.1,Non-Recyclable
500ml Blue Variant,199.2,69.9,238.2,85.2,84.5,Recyclable
500ml Orange Variant,195.4,70.1,32.7,89.8,91.5,Non-Recyclable
500ml Red Variant,200.9,70.9,3.0,90.1,92.0,Recyclable
500ml Red Variant,199.4,69.0,359.7,89.2,87.9,Recyclable
500ml Orange Variant,199.8,70.3,34.1,88.0,95.6,Non-Recyclable
500ml Red Variant,201.6,70.2,360.0,91.2,90.1,Recyclable
1L Red Variant,260.8,90.6,1.2,92.1,92.7,Non-Recyclable
500ml Orange Variant,198.8,68.3,33.5,90.5,91.6,Non-Recyclable
1L Red Variant,258.6,90.1,2.6,90.6,88.0,Non-Recyclable
500ml Orange Variant,198.4,69.7,32.3,91.2,89.5,Non-Recyclable
500ml Red Variant,197.8,69.3,3.3,84.5,90.3,Recyclable
1L Red Variant,258.7,91.4,1.4,90.1,89.8,Non-Recyclable
500ml Red Variant,198.7,69.7,359.1,90.4,90.8,Recyclable
500ml Blue Variant,199.1,71.5,237.5,83.2,89.4,Recyclable
500ml Orange Variant,199.9,70.8,33.4,88.3,92.6,Non-Recyclable
1L Red Variant,261.2,89.8,1.9,90.9,87.5,Non-Recyclable
500ml Blue Variant,200.7,68.6,242.7,82.2,85.4,Recyclable
500ml Red Variant,198.3,70.0,357.5,93.5,87.5,Recyclable
500ml Red Variant,201.0,69.7,359.4,91.6,91.0,Recyclable
500ml Green Variant,201.3,68.6,113.8,84.0,81.6,Recyclable
500ml Green Variant,199.7,69.2,117.8,83.6,78.4,Recyclable
500ml Blue Variant,201.3,70.0,240.3,85.6,84.0,Recyclable
1L Red Variant,261.8,90.6,357.6,89.2,84.0,Non-Recyclable
1L Red Variant,258.6,90.5,1.8,89.8,91.0,Non-Recyclable
500ml Blue Variant,198.1,70.5,237.4,82.3,86.8,Recyclable
500ml Green Variant,198.7,70.1,122.3,89.9,82.7,Recyclable
500ml Red Variant,199.2,68.9,353.1,89.0,89.1,Recyclable
500ml Orange Variant,202.7,70.8,28.0,89.5,94.1,Non-Recyclable
500ml Green Variant,200.2,70.1,127.6,83.9,77.4,Recyclable
500ml Red Variant,196.8,72.2,357.2,89.6,90.0,Recyclable
500ml Blue Variant,202.4,69.9,234.2,84.0,85.4,Recyclable
500ml Blue Variant,200.1,69.9,237.9,81.3,85.9,Recyclable
500ml Red Variant,201.8,70.8,358.1,88.5,91.7,Recyclable
500ml Orange Variant,200.9,69.1,26.7,89.7,90.5,Non-Recyclable
500ml Orange Variant,197.7,70.9,31.9,91.6,93.4,Non-Recyclable
1L Red Variant,259.2,89.4,357.3,92.2,86.9,Non-Recyclable
1L Red Variant,261.5,89.6,357.5,89.4,88.4,Non-Recyclable
500ml Blue Variant,200.2,70.1,238.6,85.9,88.2,Recyclable
500ml Orange Variant,203.1,70.3,26.4,89.6,92.2,Non-Recyclable
500ml Orange Variant,201.0,70.1,29.0,86.9,89.6,Non-Recyclable
500ml Orange Variant,201.6,71.2,29.4,91.5,89.6,Non-Recyclable
1L Red Variant,262.5,91.6,355.5,87.4,89.1,Non-Recyclable
500ml Red Variant,199.9,70.6,0.4,90.2,87.3,Recyclable
500ml Red Variant,201.0,71.4,0.2,91.6,88.5,Recyclable
500ml Blue Variant,198.1,70.4,239.3,85.7,86.9,Recyclable
1L Red Variant,262.0,90.2,1.3,92.3,91.3,Non-Recyclable
1L Red Variant,262.1,89.8,4.6,89.5,88.2,Non-Recyclable
500ml Green Variant,200.7,69.9,116.4,87.6,79.5,Recyclable
500ml Blue Variant,198.0,69.1,239.8,84.4,84.4,Recyclable
500ml Green Variant,198.6,69.6,118.2,84.4,76.3,Recyclable
500ml Orange Variant,202.5,69.7,32.9,90.7,89.7,Non-Recyclable
500ml Green Variant,200.0,71.2,117.2,82.0,78.5,Recyclable
500ml Blue Variant,197.7,70.1,241.0,83.1,83.0,Recyclable
500ml Orange Variant,198.7,69.0,28.8,91.5,90.7,Non-Recyclable
500ml Green Variant,201.7,71.1,118.3,86.2,75.9,Recyclable
500ml Orange Variant,198.9,71.1,29.8,93.8,87.8,Non-Recyclable
500ml Blue Variant,198.0,69.6,243.3,85.2,81.0,Recyclable
500ml Green Variant,199.1,70.6,120.5,87.6,78.9,Recyclable
500ml Blue Variant,198.9,69.5,239.2,88.8,86.9,Recyclable
1L Red Variant,259.4,90.3,354.7,90.6,87.0,Non-Recyclable
500ml Orange Variant,199.8,70.1,28.9,92.7,92.8,Non-Recyclable
1L Red Variant,260.3,90.7,358.4,90.0,89.1,Non-Recyclable
500ml Blue Variant,199.7,70.8,237.4,86.3,87.4,Recyclable
500ml Orange Variant,200.8,71.3,29.9,89.8,94.3,Non-Recyclable
500ml Red Variant,200.7,70.5,4.9,91.4,91.8,Recyclable
500ml Green Variant,200.4,69.9,112.7,85.5,80.1,Recyclable
500ml Red Variant,198.7,70.1,6.3,88.8,89.8,Recyclable
500ml Orange Variant,198.6,68.8,30.7,87.5,92.0,Non-Recyclable
1L Red Variant,257.9,89.7,2.4,89.0,87.7,Non-Recyclable
500ml Orange Variant,201.3,69.2,32.7,89.5,90.9,Non-Recyclable
500ml Blue Variant,200.5,67.6,239.8,86.5,86.3,Recyclable
500ml Blue Variant,199.7,70.5,234.8,84.3,81.2,Recyclable
500ml Orange Variant,200.5,68.8,32.0,87.5,88.9,Non-Recyclable
500ml Red Variant,199.1,70.6,355.4,88.9,89.8,Recyclable
500ml Orange Variant,198.4,70.4,30.2,90.5,93.0,Non-Recyclable
500ml Orange Variant,200.8,70.0,28.3,90.7,91.2,Non-Recyclable
500ml Orange Variant,198.5,69.5,29.2,89.7,91.8,Non-Recyclable
500ml Blue Variant,202.2,70.2,236.2,83.4,88.4,Recyclable
500ml Orange Variant,201.9,69.9,27.7,88.2,91.9,Non-Recyclable
1L Red Variant,259.5,89.7,3.6,91.0,86.1,Non-Recyclable
500ml Red Variant,201.0,70.4,0.3,88.3,89.0,Recyclable
500ml Orange Variant,203.3,70.1,28.2,91.6,91.4,Non-Recyclable
500ml Orange Variant,197.3,68.6,32.4,91.5,92.5,Non-Recyclable
500ml Blue Variant,200.9,71.4,244.0,81.9,85.9,Recyclable
500ml Green Variant,200.0,69.2,120.0,87.5,81.3,Recyclable
500ml Orange Variant,198.7,70.0,29.8,91.2,90.6,Non-Recyclable
500ml Blue Variant,202.8,69.0,237.3,85.2,85.3,Recyclable
500ml Red Variant,199.0,69.5,353.1,92.5,90.8,Recyclable
500ml Orange Variant,196.0,69.7,31.5,91.0,90.8,Non-Recyclable
500ml Blue Variant,198.2,70.3,245.6,87.8,83.6,Recyclable
1L Red Variant,261.2,90.2,1.2,89.9,89.3,Non-Recyclable
500ml Orange Variant,200.0,70.3,30.3,89.8,91.5,Non-Recyclable
1L Red Variant,261.5,90.4,357.2,90.4,88.5,Non-Recyclable
500ml Red Variant,198.7,71.9,354.0,91.0,90.4,Recyclable
500ml Green Variant,198.9,71.4,121.3,83.9,81.6,Recyclable
500ml Orange Variant,198.7,70.6,34.4,91.5,88.3,Non-Recyclable
500ml Blue Variant,200.3,70.3,238.7,85.8,85.6,Recyclable
500ml Red Variant,198.0,68.7,354.2,88.0,87.3,Recyclable
500ml Red Variant,199.1,69.7,1.7,92.4,87.0,Recyclable
500ml Red Variant,199.4,69.9,0.8,87.3,90.7,Recyclable
500ml Orange Variant,198.6,71.0,29.8,91.8,93.3,Non-Recyclable
1L Red Variant,258.0,89.2,356.9,89.9,87.9,Non-Recyclable
500ml Blue Variant,199.5,70.0,238.3,85.6,85.3,Recyclable
1L Red Variant,262.0,89.4,4.0,92.4,90.0,Non-Recyclable
1L Red Variant,262.0,90.8,359.3,87.8,85.9,Non-Recyclable
500ml Orange Variant,201.7,69.4,28.6,88.1,93.0,Non-Recyclable
500ml Green Variant,199.9,71.5,119.7,85.7,80.7,Recyclable
500ml Orange Variant,199.8,69.8,30.4,89.7,93.1,Non-Recyclable
500ml Orange Variant,196.6,70.3,26.7,87.3,89.7,Non-Recyclable
1L Red Variant,261.0,89.7,0.7,89.2,84.3,Non-Recyclable
500ml Blue Variant,199.7,71.3,244.8,83.1,83.2,Recyclable
500ml Green Variant,199.9,68.1,118.6,89.0,79.7,Recyclable
500ml Red Variant,200.0,70.6,355.6,90.9,88.0,Recyclable
500ml Blue Variant,199.2,69.8,243.6,84.0,84.3,Recyclable
500ml Red Variant,199.1,70.2,359.6,90.9,87.2,Recyclable
500ml Green Variant,199.1,69.8,122.6,86.8,79.1,Recyclable
500ml Green Variant,200.2,70.5,118.9,87.5,79.5,Recyclable
500ml Blue Variant,195.6,70.3,241.3,87.5,82.8,Recyclable
500ml Orange Variant,198.2,69.7,27.5,92.7,91.3,Non-Recyclable
500ml Orange Variant,202.3,72.5,24.2,86.4,92.1,Non-Recyclable
500ml Green Variant,201.3,68.6,119.9,82.0,81.5,Recyclable
500ml Red Variant,198.0,70.7,359.4,92.1,87.2,Recyclable
500ml Red Variant,200.4,70.0,358.3,91.2,92.1,Recyclable
500ml Orange Variant,201.6,67.7,31.0,89.0,94.6,Non-Recyclable
500ml Red Variant,202.7,70.0,359.0,88.5,89.5,Recyclable
500ml Blue Variant,200.9,70.3,238.0,83.8,80.4,Recyclable
500ml Red Variant,199.0,69.9,3.3,91.6,87.3,Recyclable
500ml Orange Variant,199.9,70.3,32.1,90.0,91.8,Non-Recyclable
500ml Orange Variant,200.3,70.7,28.3,92.9,94.7,Non-Recyclable
500ml Blue Variant,200.8,70.1,242.6,84.6,85.1,Recyclable
500ml Green Variant,202.4,69.8,121.7,83.8,82.7,Recyclable
1L Red Variant,261.9,89.6,359.1,87.2,90.4,Non-Recyclable
500ml Red Variant,199.7,68.4,356.1,89.6,93.3,Recyclable
500ml Orange Variant,202.4,69.6,28.6,87.9,90.7,Non-Recyclable
500ml Green Variant,197.9,70.3,119.1,86.9,82.6,Recyclable
500ml Blue Variant,199.1,70.1,244.0,82.9,85.6,Recyclable
500ml Green Variant,197.9,70.7,121.0,82.4,79.9,Recyclable
500ml Orange Variant,201.0,69.5,29.5,87.6,90.5,Non-Recyclable
500ml Orange Variant,198.2,70.5,25.2,90.6,90.3,Non-Recyclable
1L Red Variant,260.9,90.4,0.9,87.3,88.6,Non-Recyclable
500ml Blue Variant,200.3,70.8,242.4,86.4,87.3,Recyclable
500ml Orange Variant,197.7,71.5,30.8,88.8,93.1,Non-Recyclable
500ml Green Variant,202.9,68.4,119.6,83.1,83.3,Recyclable
500ml Blue Variant,201.0,68.8,239.1,83.9,83.4,Recyclable
500ml Red Variant,198.9,70.1,358.8,87.6,88.1,Recyclable
1L Red Variant,260.7,90.5,359.0,89.4,90.4,Non-Recyclable
500ml Green Variant,198.4,70.3,123.9,85.2,79.1,Recyclable
500ml Red Variant,200.7,71.6,8.9,89.9,86.6,Recyclable
500ml Blue Variant,198.0,69.7,236.9,83.8,84.2,Recyclable
1L Red Variant,261.4,89.1,359.6,92.3,89.6,Non-Recyclable
500ml Blue Variant,200.3,69.8,243.6,87.5,85.3,Recyclable
500ml Red Variant,198.6,70.7,357.2,88.0,89.2,Recyclable
500ml Green Variant,202.0,71.2,119.5,87.0,78.0,Recyclable
1L Red Variant,260.7,90.1,356.7,89.9,89.4,Non-Recyclable
1L Red Variant,262.1,90.2,358.3,89.4,89.5,Non-Recyclable
500ml Red Variant,200.8,70.3,1.3,91.2,86.8,Recyclable
500ml Orange Variant,199.7,71.2,28.5,88.9,92.1,Non-Recyclable
1L Red Variant,262.3,90.1,359.5,90.6,89.6,Non-Recyclable
500ml Orange Variant,199.6,69.8,34.8,91.6,91.1,Non-Recyclable
500ml Red Variant,196.9,70.1,0.7,89.3,89.6,Recyclable
500ml Red Variant,197.0,72.4,355.0,91.3,92.9,Recyclable
500ml Blue Variant,197.5,71.0,237.2,85.6,87.1,Recyclable
1L Red Variant,259.5,90.7,2.1,85.5,82.0,Non-Recyclable
500ml Red Variant,199.6,67.5,0.1,91.5,88.9,Recyclable
500ml Blue Variant,200.3,70.8,244.0,87.3,81.3,Recyclable
500ml Blue Variant,203.5,69.3,240.6,88.3,84.1,Recyclable
500ml Orange Variant,200.4,70.6,27.4,91.4,92.7,Non-Recyclable
500ml Orange Variant,200.0,69.9,24.1,92.3,90.4,Non-Recyclable
500ml Red Variant,200.5,69.8,357.1,92.0,89.8,Recyclable
500ml Orange Variant,199.0,70.1,33.8,89.9,93.1,Non-Recyclable
1L Red Variant,258.4,89.9,354.1,91.1,89.6,Non-Recyclable
500ml Blue Variant,200.1,70.6,245.7,85.8,85.7,Recyclable
500ml Red Variant,200.6,69.9,359.4,92.1,87.7,Recyclable
500ml Green Variant,199.8,69.5,123.8,86.3,83.0,Recyclable
500ml Green Variant,199.1,69.8,122.0,84.9,81.9,Recyclable
500ml Blue Variant,201.0,70.9,239.6,84.5,88.8,Recyclable
500ml Red Variant,200.7,69.6,359.6,90.3,87.8,Recyclable
500ml Blue Variant,198.4,69.9,239.2,87.6,87.9,Recyclable
500ml Orange Variant,197.5,68.5,37.1,89.3,93.4,Non-Recyclable
1L Red Variant,261.7,89.8,2.4,89.0,90.2,Non-Recyclable
1L Red Variant,260.3,89.5,354.3,94.4,87.7,Non-Recyclable
500ml Green Variant,199.3,70.1,121.0,82.3,81.1,Recyclable
500ml Orange Variant,201.6,72.2,28.2,93.2,92.8,Non-Recyclable
500ml Blue Variant,203.1,68.7,238.7,87.8,84.9,Recyclable
500ml Green Variant,201.1,69.6,121.2,85.6,83.4,Recyclable
500ml Blue Variant,200.1,67.8,238.4,87.0,85.4,Recyclable
1L Red Variant,260.1,90.6,1.4,88.6,88.3,Non-Recyclable
500ml Green Variant,199.9,69.9,119.8,83.5,80.3,Recyclable
500ml Green Variant,199.0,69.9,117.1,86.7,76.1,Recyclable
500ml Orange Variant,201.3,69.6,29.6,90.0,88.9,Non-Recyclable
1L Red Variant,258.4,89.3,3.3,92.9,87.0,Non-Recyclable
500ml Red Variant,199.3,70.3,357.1,84.8,88.8,Recyclable
500ml Red Variant,196.1,69.6,4.5,92.5,93.4,Recyclable
500ml Green Variant,200.2,69.4,117.9,83.9,78.3,Recyclable
500ml Red Variant,200.9,68.5,354.1,89.8,90.3,Recyclable
500ml Blue Variant,202.2,69.3,238.2,84.7,81.3,Recyclable
500ml Orange Variant,199.7,71.2,29.7,90.0,92.4,Non-Recyclable
500ml Blue Variant,200.7,70.5,237.9,81.9,84.1,Recyclable
1L Red Variant,259.1,90.3,356.7,84.3,90.1,Non-Recyclable
500ml Green Variant,202.0,70.0,116.0,84.0,79.6,Recyclable
500ml Orange Variant,199.0,70.7,32.6,91.4,93.5,Non-Recyclable
500ml Red Variant,198.8,70.7,1.3,89.1,88.1,Recyclable
500ml Blue Variant,202.3,70.6,238.3,86.4,84.7,Recyclable
500ml Orange Variant,197.6,70.4,27.9,90.0,93.8,Non-Recyclable
500ml Orange Variant,199.3,69.0,31.8,88.9,93.2,Non-Recyclable
500ml Blue Variant,199.2,68.2,236.1,82.1,88.4,Recyclable
500ml Orange Variant,196.9,70.0,32.2,87.8,94.0,Non-Recyclable
500ml Orange Variant,199.3,69.7,26.4,88.1,94.5,Non-Recyclable
500ml Red Variant,200.4,69.5,359.3,91.1,86.6,Recyclable
1L Red Variant,258.6,90.4,2.8,87.1,85.2,Non-Recyclable
500ml Red Variant,203.3,70.4,357.0,89.8,89.8,Recyclable
500ml Orange Variant,199.0,69.7,34.8,87.7,87.3,Non-Recyclable
1L Red Variant,261.5,89.7,2.4,86.8,85.5,Non-Recyclable
500ml Orange Variant,201.8,71.2,38.4,91.4,91.9,Non-Recyclable
1L Red Variant,258.8,90.5,356.9,91.0,88.6,Non-Recyclable
500ml Green Variant,199.7,71.7,123.9,82.1,80.6,Recyclable
500ml Orange Variant,199.6,69.2,27.4,89.6,94.9,Non-Recyclable
500ml Blue Variant,201.2,69.3,239.8,84.9,86.4,Recyclable
500ml Green Variant,202.1,71.5,121.4,85.2,84.0,Recyclable
500ml Red Variant,200.4,69.3,357.7,86.8,88.1,Recyclable
500ml Blue Variant,201.8,70.2,240.5,81.6,85.7,Recyclable
500ml Blue Variant,202.5,70.7,240.7,87.2,86.4,Recyclable
500ml Orange Variant,200.8,70.8,34.6,87.6,95.3,Non-Recyclable
500ml Green Variant,200.6,70.9,121.0,85.8,81.2,Recyclable
500ml Blue Variant,199.8,70.8,241.2,82.2,82.2,Recyclable
500ml Blue Variant,199.1,69.0,243.3,82.9,84.0,Recyclable
500ml Green Variant,199.3,68.9,121.3,84.2,80.5,Recyclable
