Product,Width,Height,H,S,V,Recyclable Flag
Fanta 1.25L,180,452,12.5,212,124,Non-Recyclable
Fanta 1.25L,185,449,12.5,212,124,Non-Recyclable
Fanta 1.25L,184,454,12.5,212,124,Non-Recyclable
Fanta 1.25L,185,459,12.5,212,140,Non-Recyclable
Fanta 1.25L,186,461,12.5,212,124,Non-Recyclable
Fanta 1.25L,184,461,12.5,220,124,Non-Recyclable
Fanta 1.25L,184,460,12.5,212,124,Non-Recyclable
Fanta 1.25L,182,460,12.5,220,124,Non-Recyclable
Fanta 1.25L,184,460,12.5,220,124,Non-Recyclable
Fanta 1.25L,184,462,12.5,212,124,Non-Recyclable
Fanta 1.25L,186,464,12.5,212,140,Non-Recyclable
Fanta 1.25L,186,463,12.5,212,140,Non-Recyclable
Fanta 1.25L,182,462,12.5,220,124,Non-Recyclable
Fanta 1.25L,186,463,12.5,220,132,Non-Recyclable
Fanta 1.25L,176,453,12.5,220,124,Non-Recyclable
Fanta 1.25L,186,464,12.5,212,124,Non-Recyclable
Fanta 1.25L,185,464,12.5,220,140,Non-Recyclable
Fanta 1.25L,186,463,12.5,212,124,Non-Recyclable
Fanta 1.25L,180,461,12.5,212,124,Non-Recyclable
Fanta 1.25L,185,463,12.5,220,124,Non-Recyclable
Fanta 1.25L,185,462,12.5,220,124,Non-Recyclable
Fanta 1.25L,186,463,12.5,212,140,Non-Recyclable
Fanta 1.25L,187,464,12.5,220,140,Non-Recyclable
Fanta 1.25L,187,463,12.5,212,140,Non-Recyclable
Fanta 1.25L,187,463,12.5,220,124,Non-Recyclable
Fanta 1.25L,186,462,12.5,220,124,Non-Recyclable
Fanta 1.25L,187,463,12.5,204,124,Non-Recyclable
Fanta 1.25L,189,462,12.5,212,124,Non-Recyclable
Fanta 1.25L,188,463,12.5,220,124,Non-Recyclable
Fanta 1.25L,187,462,12.5,220,140,Non-Recyclable
Coke No Sugar 1.25L,154,472,2.5,196,124,Recyclable
Coke No Sugar 1.25L,154,474,2.5,196,124,Recyclable
Coke No Sugar 1.25L,155,474,2.5,196,124,Recyclable
Coke No Sugar 1.25L,153,473,2.5,196,124,Recyclable
Coke No Sugar 1.25L,154,473,2.5,196,124,Recyclable
Coke No Sugar 1.25L,153,470,2.5,196,124,Recyclable
Coke No Sugar 1.25L,153,472,2.5,196,124,Recyclable
Coke No Sugar 1.25L,153,457,2.5,196,124,Recyclable
Coke No Sugar 1.25L,151,456,2.5,196,124,Recyclable
Coke No Sugar 1.25L,153,471,2.5,196,124,Recyclable
Woolies Lemonade 1.25L,153,458,102.5,204,76,Non-Recyclable
Woolies Lemonade 1.25L,152,457,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,150,461,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,152,451,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,156,454,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,155,454,102.5,204,76,Non-Recyclable
Woolies Lemonade 1.25L,155,456,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,159,456,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,155,455,102.5,196,76,Non-Recyclable
Woolies Lemonade 1.25L,157,455,102.5,196,76,Non-Recyclable
